Symbol,Cluster
A,2
AAL,-1
ABT,0
ADI,1
ADM,-1
ADP,0
ADSK,2
AEE,0
AEP,0
AIG,-1
AIZ,-1
AJG,-1
ALB,2
ALGN,-1
ALL,-1
AME,1
AMGN,-1
ANSS,1
APA,-1
APH,2
ARE,-1
ATO,-1
AVB,5
AXON,-1
AXP,-1
BAC,-1
BAX,0
BBWI,3
BBY,3
BDX,0
BF-B,0
BG,4
BK,-1
BLK,-1
BMY,0
BRO,-1
BWA,-1
BXP,5
C,-1
CAT,3
CB,-1
CBRE,-1
CCL,3
CDNS,3
CI,-1
CINF,-1
CL,0
CLX,0
CMA,-1
CME,-1
CMS,0
CNP,0
COF,-1
CPB,0
CPT,-1
CRL,-1
CRM,-1
CSCO,4
CSX,3
CVX,-1
D,0
DAL,-1
DD,3
DHI,-1
DHR,1
DLR,-1
DLTR,-1
DOV,3
DRI,-1
DTE,0
DUK,0
ED,0
EIX,0
EMN,3
EOG,-1
EQIX,2
EQR,-1
EQT,-1
ES,0
ESS,-1
ETR,0
EXC,0
F,-1
FDX,3
FE,0
FFIV,-1
FICO,-1
FIS,-1
FITB,-1
FRT,-1
FSLR,-1
GD,0
GE,-1
GIS,0
GOOG,4
GOOGL,4
GPC,1
GPN,1
GS,-1
HAL,-1
HES,-1
HOLX,1
HSIC,1
HST,-1
HSY,0
IBM,0
ICE,-1
IDXX,1
IFF,1
ILMN,-1
INTC,4
INTU,1
IP,-1
IRM,1
IT,-1
JBHT,3
JKHY,-1
JNJ,0
JNPR,2
JPM,-1
K,0
KEY,-1
KIM,-1
KMB,0
KMX,3
KO,0
KR,0
L,-1
LDOS,-1
LEN,-1
LHX,1
LIN,4
LKQ,-1
LLY,0
LMT,0
LNT,0
LOW,-1
LRCX,2
LUV,3
LVS,-1
LYV,-1
MAA,-1
MAR,3
MAS,-1
MCD,0
MCHP,1
MCK,0
MCO,-1
MDLZ,0
MET,-1
MGM,-1
MHK,-1
MKC,0
MKTX,-1
MLM,3
MOS,-1
MPWR,-1
MRK,-1
MS,-1
MSFT,-1
MTB,-1
MTCH,1
MTD,1
MU,-1
NDSN,-1
NEE,0
NEM,0
NI,0
NKE,1
NRG,-1
NSC,3
NTAP,2
NTRS,-1
NVDA,-1
NVR,-1
O,-1
ODFL,-1
ON,-1
OXY,-1
PARA,-1
PAYX,1
PCAR,-1
PCG,0
PEAK,5
PEG,0
PEP,0
PFE,0
PFG,-1
PG,0
PGR,-1
PHM,-1
PKG,3
PKI,1
PLD,-1
PNR,3
PNW,0
PODD,-1
POOL,-1
PPL,0
PRU,-1
PSA,5
RCL,-1
RE,-1
REG,-1
RHI,-1
RJF,-1
RL,3
RMD,1
ROK,-1
ROP,3
RTX,-1
SCHW,-1
SEE,-1
SJM,0
SNA,3
SNPS,1
SO,0
SPG,-1
SRE,0
STE,-1
STT,-1
SWK,3
SWKS,-1
SYY,0
T,0
TAP,0
TECH,-1
TEL,3
TER,-1
TFX,1
TMO,1
TRV,-1
TSCO,-1
TSN,-1
TXN,1
TXT,-1
UAL,-1
UDR,-1
UHS,-1
UNH,-1
URI,-1
VMC,3
VRTX,-1
VTR,5
VTRS,1
VZ,0
WAB,-1
WAT,1
WBA,0
WELL,-1
WFC,-1
WHR,-1
WM,0
WMB,-1
WMT,0
WTW,-1
WY,3
WYNN,-1
XEL,0
XOM,-1
XRAY,1
ZBRA,-1
ZION,-1
