selected_stock,leg_stock,pvalue
BXP,JCI,2.29e-07
AVB,JCI,0.000292533
AVB,LH,0.000504326
PSA,VRSN,0.001710725
PEAK,VTR,0.00259025
AVB,WAT,0.003269828
AVB,SWK,0.007065323
AVB,KO,0.007216531
AVB,FDS,0.008265695
BXP,KO,0.008267067
BXP,LH,0.008549031
AVB,SO,0.008776494
BXP,WAT,0.011734762
BXP,WTW,0.012742186
BXP,DUK,0.01283307
AVB,EQR,0.013053222
BXP,COF,0.013865123
AVB,CRM,0.015370526
PSA,SBUX,0.015652623
BXP,D,0.016015344
BXP,CBRE,0.016152411
AVB,ED,0.016415823
BXP,TER,0.01663704
AVB,EL,0.016965462
AVB,DLTR,0.017041465
AVB,ES,0.017548192
AVB,WTW,0.017590092
BXP,PG,0.018717455
AVB,TER,0.020169742
AVB,ISRG,0.020553799
AVB,INTU,0.020603053
AVB,YUM,0.021818704
BXP,CE,0.022060919
PSA,WEC,0.02401558
BXP,ORCL,0.024168991
PSA,TYL,0.027449649
PEAK,QCOM,0.030228272
PSA,SJM,0.031550861
AVB,AZO,0.031964073
BXP,CDNS,0.034500907
PSA,SWK,0.035972719
BXP,IT,0.036120791
AVB,BALL,0.036632006
PSA,WAT,0.037035294
PSA,TGT,0.037253889
AVB,ROP,0.039287814
AVB,MCD,0.03954963
AVB,CE,0.039584035
AVB,DRI,0.03993503
BXP,INTU,0.041266973
BXP,ROK,0.042622074
PEAK,TROW,0.04375059
AVB,DUK,0.044935747
BXP,GPC,0.046708383
BXP,CRM,0.046747429
BXP,TECH,0.047534634
BXP,DLTR,0.049701586
